crashed,distance,dt,exception,lambda,mean_ego_speed,mean_iterations,min_ego_speed,min_speed,n_steps,nb_brakes,reward,rng_seed,solver,steps_in_lane,steps_to_lane,terminal
false,169.05856739434455,0.75,false,0.25,32.20163188463706,5043.428571428572,31.07663188463706,28.579588330025615,7,0,0.7350918906249998,40122,mlmpc,1,7,lane
false,1001.2398098107716,0.75,false,0.25,31.785390787643543,32185.238095238095,22.481819359072148,22.481819359072148,42,0,0.0,40123,mlmpc,0,,distance
false,389.6098301120245,0.75,false,0.25,30.557633734276433,3756.9411764705883,28.020869028394088,28.020869028394088,17,0,0.44012666865176525,40124,mlmpc,1,17,lane
false,303.7600951746493,0.75,false,0.25,28.92953287377612,4589.142857142857,26.17060430234754,26.17060430234754,14,0,0.5133420832795047,40125,mlmpc,1,14,lane
false,580.3429796037318,0.75,false,0.25,33.643071281375754,4300.869565217391,31.898506063984442,28.34667585303107,23,0,0.3235335449737089,40126,mlmpc,1,23,lane
false,380.6407214417219,0.75,false,0.25,28.195608995683102,4120.222222222223,25.92477566234976,25.92477566234976,18,0,0.41812033521917696,40127,mlmpc,1,18,lane
false,554.7235434039661,0.75,false,0.25,29.585255648211525,3841.96,26.495255648211504,26.388726002502278,25,0,0.2919890243387723,40128,mlmpc,1,25,lane
false,750.3471790409856,0.75,false,0.25,31.2644657933744,3578.875,29.002747043374384,27.461977064056594,32,0,0.20390682574579033,40129,mlmpc,1,32,lane
false,414.3117373347429,0.75,false,0.25,24.01807172955031,5245.95652173913,18.083289120854673,18.083289120854673,23,0,0.3235335449737089,40130,mlmpc,1,23,lane
false,634.3438502525306,0.75,false,0.25,32.530453859104135,2730.0,32.011223089873376,28.835902177814376,26,0,0.27738957312183365,40131,mlmpc,1,26,lane
false,520.0234289199983,0.75,false,0.25,30.146285734492654,3399.8695652173915,28.18976399536222,27.584625685215663,23,0,0.3235335449737089,40132,mlmpc,1,23,lane
false,761.564817619256,0.75,false,0.25,22.07434253968858,3474.521739130435,16.856951235340752,16.856951235340752,46,0,0.09944025698709223,40133,mlmpc,1,46,lane
false,595.5130299853582,0.75,false,0.25,33.08405722140879,3388.3333333333335,32.49030722140879,27.596506528670126,24,1,0.21301846709119668,40134,mlmpc,1,24,lane
false,1015.0912647916557,0.75,false,0.25,33.83637549305519,35601.075,29.608250493055188,29.608250493055188,40,0,0.0,40135,mlmpc,0,,distance
false,169.58686995625314,0.75,false,0.25,32.302260944048214,4145.0,31.712975229762506,29.043299010004205,7,0,0.7350918906249998,40136,mlmpc,1,7,lane
false,561.3809954546078,0.75,false,0.25,28.788768997672197,3589.153846153846,27.332038228441426,27.332038228441426,26,0,0.27738957312183365,40137,mlmpc,1,26,lane
false,803.7853701871869,0.75,false,0.25,35.72379423054164,3181.4666666666667,33.64879423054166,30.960326557131786,30,0,0.2259355409925655,40138,mlmpc,1,30,lane
false,370.46146808974123,0.75,false,0.25,23.521363053316904,5219.523809523809,18.110648767602612,18.110648767602612,21,0,0.35848592240854177,40139,mlmpc,1,21,lane
